position,rank,patent_id,serpapi_link,title,priority_date,filing_date,grant_date,publication_date,inventor,assignee,publication_number,language,thumbnail,pdf,page
1,0,patent/US10427604B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS10427604B2%2Fen,Vision system for a vehicle,2000-03-02,2018-08-27,2019-10-01,2019-10-01,Kenneth Schofield,Magna Electronics Inc.,US10427604B2,en,https://patentimages.storage.googleapis.com/24/7d/d7/f5c6b523a64b07/US10427604-20191001-D00000.png,https://patentimages.storage.googleapis.com/57/a2/97/f38685612beffe/US10427604.pdf,1.0
2,1,patent/US20210234767A1/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS20210234767A1%2Fen,Vehicle middleware,2011-11-16,2021-04-16,,2021-07-29,Christopher P. Ricci,Autoconnect Holdings Llc,US20210234767A1,en,https://patentimages.storage.googleapis.com/aa/b4/95/7aefdc31ecb92c/US20210234767A1-20210729-D00000.png,https://patentimages.storage.googleapis.com/42/1e/f1/02cf5e39df65cb/US20210234767A1.pdf,1.0
3,2,patent/US10979875B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS10979875B2%2Fen,System and method for wireless interface selection and for communication and …,2011-01-14,2018-09-11,2021-04-13,2021-04-13,Lillian Lei Dai,"Cisco Technology, Inc.",US10979875B2,en,https://patentimages.storage.googleapis.com/46/2c/7d/8b20081b45f79b/US10979875-20210413-D00000.png,https://patentimages.storage.googleapis.com/31/9c/dd/a6dead13207d15/US10979875.pdf,1.0
4,3,patent/US10320836B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS10320836B2%2Fen,Automotive ECU controller and data network having security features for …,2017-01-03,2018-07-16,2019-06-11,2019-06-11,Tal Efraim Ben David,Karamba Security Ltd.,US10320836B2,en,https://patentimages.storage.googleapis.com/50/98/c1/98ebb5b70b2dea/US10320836-20190611-D00000.png,https://patentimages.storage.googleapis.com/40/6a/97/16488405fd862b/US10320836.pdf,1.0
5,4,patent/US11790420B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS11790420B2%2Fen,"Visual discovery tool for automotive manufacturers with network encryption, …",2016-10-18,2021-01-04,2023-10-17,2023-10-17,Jeffrey Stuart Cotton,"Autoalert, Llc",US11790420B2,en,https://patentimages.storage.googleapis.com/38/c4/91/67d4475baf600a/US11790420-20231017-D00000.png,https://patentimages.storage.googleapis.com/f7/48/8f/9cc74b3f4af166/US11790420.pdf,1.0
6,5,patent/US10613579B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS10613579B2%2Fen,Automotive display device,2015-03-02,2019-01-30,2020-04-07,2020-04-07,Seong Min Wang,"Samsung Display Co., Ltd.",US10613579B2,en,https://patentimages.storage.googleapis.com/68/c6/c5/d8a147376990d2/US10613579-20200407-D00000.png,https://patentimages.storage.googleapis.com/2d/51/4f/34c7a66438e12c/US10613579.pdf,1.0
7,6,patent/US11250648B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS11250648B2%2Fen,Predictive maintenance of automotive transmission,2019-12-18,2019-12-18,2022-02-15,2022-02-15,Poorna Kale,"Micron Technology, Inc.",US11250648B2,en,https://patentimages.storage.googleapis.com/d3/00/05/c61288ba7f7623/US11250648-20220215-D00000.png,https://patentimages.storage.googleapis.com/36/cb/10/9d675c05be7a0e/US11250648.pdf,1.0
8,7,patent/US11627433B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS11627433B2%2Fen,Enhanced automotive passive entry,2017-02-10,2021-12-21,2023-04-11,2023-04-11,Brent M. Ledvina,Apple Inc.,US11627433B2,en,https://patentimages.storage.googleapis.com/7f/f3/02/777d0176382075/US11627433-20230411-D00000.png,https://patentimages.storage.googleapis.com/95/ce/1b/3b9e89d8fbcb99/US11627433.pdf,1.0
9,8,patent/US11380107B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS11380107B2%2Fen,Power and data center (PDC) for automotive applications,2018-06-29,2019-06-28,2022-07-05,2022-07-05,Lee Bauer,Aptiv Technologies Limited,US11380107B2,en,https://patentimages.storage.googleapis.com/83/2f/9f/878338d2d87d9e/US11380107-20220705-D00000.png,https://patentimages.storage.googleapis.com/ca/5e/6b/760214daa52ee3/US11380107.pdf,1.0
10,9,patent/CN111630404B/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FCN111630404B%2Fen,"Detection, mitigation and avoidance of mutual interference between automotive …",2017-11-29,2018-11-25,2023-10-20,2023-10-20,约拉姆·斯特廷尔,阿尔贝机器人有限公司,CN111630404B,en,,https://patentimages.storage.googleapis.com/a0/52/9d/1ce4259ad42400/CN111630404B.pdf,1.0
1,0,patent/US11411917B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS11411917B2%2Fen,"Method for detecting, blocking and reporting cyber-attacks against automotive …",2015-08-03,2020-05-22,2022-08-09,2022-08-09,Alan Grau,"Sectigo, Inc.",US11411917B2,en,https://patentimages.storage.googleapis.com/67/9a/6f/4e2464f44bd6c2/US11411917-20220809-D00000.png,https://patentimages.storage.googleapis.com/35/f4/ac/3b5d477ca74feb/US11411917.pdf,2.0
2,1,patent/US10846690B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS10846690B2%2Fen,Automotive optical communication system,2014-12-30,2019-02-12,2020-11-24,2020-11-24,Jeremy L. Cattone,"Paypal, Inc.",US10846690B2,en,https://patentimages.storage.googleapis.com/f4/19/fb/6154870aa75b10/US10846690-20201124-D00000.png,https://patentimages.storage.googleapis.com/2d/06/fb/4bdfbbc674e187/US10846690.pdf,2.0
